,round,model train acc,model train loss,model test acc,model test loss
0,0,0.1230595453413045,1.6234090496821876,0.12703846880355604,1.623572551484404
1,10,0.1886771419961363,1.6060366145677099,0.18872844782348855,1.6059296256220068
2,20,0.2852326577451205,1.5883411774090612,0.28407756439293824,1.587970943578458
3,30,0.45659605061610636,1.5551132198361932,0.45599556621363196,1.554270692344993
4,40,0.49694939772247604,1.5427707234635384,0.49962969434990334,1.541739232059558
5,50,0.5218757255334644,1.5320987765290512,0.5250135072455986,1.5309141203612906
6,60,0.5508536598726544,1.5125416231628162,0.5555293100097088,1.5110886918567867
7,70,0.5754082427851148,1.4820833658332315,0.5830546200002665,1.4802080844190546
8,80,0.5830700576060421,1.4668369695465358,0.5925070789623423,1.4647618703266672
9,90,0.592197368784792,1.4487083128687182,0.6013606810552936,1.4463923923344533
10,100,0.5974396657334087,1.4343689430839388,0.6055497305213371,1.4318477459004053
